experiment_time,train_batch,val_check_interval,lr,warmup_step,dropout_rate,layer_count,head_count,dim_model,dim_ff,seq_len,best_val_auc,best_step,test_auc
2021-02-01 11:00:59.112904,100,0.5,0.001,4000,0.2,2,10,200,256,200,0.7680623726472888,2882,0.7650018386310818
2021-02-01 11:17:38.249023,100,0.5,0.001,4000,0.2,2,5,200,256,200,0.7669425787779757,2779,0.7641212869512443
2021-02-01 11:35:13.077608,100,0.5,0.001,4000,0.2,2,1,200,256,200,0.7646061425510079,2882,0.7623814308528765
2021-02-01 11:59:19.763771,100,0.5,0.001,4000,0.2,2,10,100,256,200,0.7687345370898965,3397,0.7640108918349071
2021-02-01 12:17:11.998100,100,0.5,0.001,4000,0.2,2,5,100,256,200,0.7685891381757453,3243,0.7644338567650906
2021-02-01 12:49:06.756041,50,0.5,0.001,4000,0.2,2,10,200,800,200,0.7712058380102539,3893,0.7711433277171093
2021-02-01 13:04:05.440317,50,0.5,0.001,4000,0.2,2,5,200,800,200,0.7687747891582533,3688,0.7684506626705254
2021-02-01 13:37:12.304279,100,0.5,0.001,4000,0.2,2,10,200,800,200,0.7697221614051835,2882,0.7689377377556879
2021-02-01 14:04:42.804924,100,0.5,0.001,4000,0.2,2,5,200,800,200,0.7682993332274433,2882,0.766991952705096
2021-02-01 14:32:36.381971,100,0.5,0.001,4000,0.2,2,1,200,800,200,0.7632027307769755,2419,0.7599821689698658
2021-02-01 15:13:47.259882,100,0.5,0.001,4000,0.2,2,10,100,400,200,0.7673230838416282,3655,0.7632203395997299
2021-02-01 15:52:16.454956,100,0.5,0.001,4000,0.2,2,5,100,400,200,0.7682563799931372,3449,0.7638298014234892
2021-02-01 16:32:54.608843,100,0.5,0.001,4000,0.2,2,1,100,400,200,0.7665160672610178,3294,0.7649786905610001
2021-02-01 17:23:59.439441,100,0.5,0.001,4000,0.2,2,10,50,200,200,0.7634206699458956,4118,0.7590069253358618
2021-02-01 18:17:05.870797,100,0.5,0.001,4000,0.2,2,5,50,200,200,0.7653907219018096,4118,0.7621088123245732
2021-02-01 18:49:20.420363,100,0.5,0.001,4000,0.2,2,1,50,200,200,0.7668833856528612,3809,0.7643549927050293
2021-02-01 19:18:19.542804,100,0.5,0.001,4000,0.2,1,10,200,800,200,0.7631757439771504,2728,0.7587942018468596
2021-02-01 19:38:19.422695,100,0.5,0.001,4000,0.2,1,5,200,800,200,0.7621173454478233,2316,0.7585205198611447
2021-02-01 19:49:29.913623,100,0.5,0.001,4000,0.2,1,1,200,800,200,0.7510708217080557,2882,0.7493143133733063
2021-02-01 20:00:36.138013,100,0.5,0.001,4000,0.2,1,10,100,400,200,0.7591372397311538,3140,0.7544469721044065
2021-02-01 20:09:28.007128,100,0.5,0.001,4000,0.2,1,5,100,400,200,0.7606950895446205,3037,0.7571676138178254
2021-02-01 20:17:21.434649,100,0.5,0.001,4000,0.2,1,1,100,400,200,0.7472514059511011,3243,0.7439703415065989
2021-02-01 20:35:05.168477,100,0.5,0.001,4000,0.2,1,10,50,200,200,0.7488170622019599,4530,0.7456248383059338
2021-02-01 20:46:22.515939,100,0.5,0.001,4000,0.2,1,5,50,200,200,0.74968010267691,4221,0.7442131648117666
2021-02-01 21:03:43.170423,100,0.5,0.001,4000,0.2,1,1,50,200,200,0.7474988085954767,5251,0.7449827325463998
2021-02-01 21:11:07.610610,100,0.5,0.001,4000,0.2,2,10,200,800,100,0.7684633331984734,2623,0.761762700622697
2021-02-01 21:17:42.189018,100,0.5,0.001,4000,0.2,2,5,200,800,100,0.7672531912668599,2811,0.7644992425982771
2021-02-01 21:23:37.998104,100,0.5,0.001,4000,0.2,2,1,200,800,100,0.7637020103034216,2623,0.7612849275392068
2021-02-01 21:30:18.401273,100,0.5,0.001,4000,0.2,2,10,100,400,100,0.7681563567496508,3123,0.7656854591791882
2021-02-01 21:36:15.390598,100,0.5,0.001,4000,0.2,2,5,100,400,100,0.7679581767465022,3123,0.7645513294184907
2021-02-01 21:42:03.594807,100,0.5,0.001,4000,0.2,2,1,100,400,100,0.7655695138764248,3186,0.7623704237891964
2021-02-01 21:49:28.830686,100,0.5,0.001,4000,0.2,2,10,50,200,100,0.7654960879646602,3998,0.7583037866523052
2021-02-01 21:56:03.011585,100,0.5,0.001,4000,0.2,2,5,50,200,100,0.7665162699049632,3998,0.7624645077928547
2021-02-01 22:02:49.174140,100,0.5,0.001,4000,0.2,2,1,50,200,100,0.7661543686603749,3998,0.7634300276900422
2021-02-01 22:08:17.610976,100,0.5,0.001,4000,0.2,1,10,200,800,100,0.7626670363595334,2998,0.7603345309772029
2021-02-01 22:13:20.499860,100,0.5,0.001,4000,0.2,1,5,200,800,100,0.7621163387568974,2998,0.7573959849279862
2021-02-01 22:18:10.155240,100,0.5,0.001,4000,0.2,1,1,200,800,100,0.7491122265427367,2998,0.7436938197512892
2021-02-01 22:22:53.921571,100,0.5,0.001,4000,0.2,1,10,100,400,100,0.7595925334682709,2936,0.7530079260107487
2021-02-01 22:27:12.759531,100,0.5,0.001,4000,0.2,1,5,100,400,100,0.759505936202269,2811,0.7534449073390348
2021-02-01 22:32:20.496402,100,0.5,0.001,4000,0.2,1,1,100,400,100,0.7472950369251946,3623,0.7378737739206815
2021-02-01 22:38:30.425877,100,0.5,0.001,4000,0.2,1,10,50,200,100,0.7520081579319786,4311,0.7479688672410314
2021-02-01 22:44:40.921355,100,0.5,0.001,4000,0.2,1,5,50,200,100,0.7558623177090338,4623,0.7505792415706741
2021-02-01 22:52:35.529509,100,0.5,0.001,4000,0.2,1,1,50,200,100,0.7429926606315402,6248,0.7361270833360153
