experiment_time,train_batch,val_check_interval,lr,warmup_step,dropout_rate,layer_count,head_count,dim_model,dim_ff,seq_len,best_val_auc,best_step,test_auc
2021-02-01 20:41:00.162601,100,0.5,0.001,4000,0.2,1,5,100,400,100,0.717241950638883,3448,0.7162264049681116
2021-02-01 20:45:32.626019,100,0.5,0.001,4000,0.2,1,1,100,400,100,0.7149779398844591,3448,0.7142858314212629
2021-02-01 20:52:45.552793,100,0.5,0.001,4000,0.2,1,10,50,200,100,0.7164071076177313,5288,0.7156124754452771
2021-02-01 21:01:07.905667,100,0.5,0.001,4000,0.2,1,5,50,200,100,0.7175450633678863,6208,0.7160961121705343
2021-02-01 21:07:55.981412,100,0.5,0.001,4000,0.2,1,1,50,200,100,0.7157959269641934,5518,0.7142629956057942
2021-02-02 05:28:11.988250,100,0.5,0.001,200,0.2,2,10,200,800,100,0.7196576728025378,1896,0.7186135908587724
2021-02-02 05:34:53.706571,100,0.5,0.001,200,0.2,2,5,200,800,100,0.7188881571835868,1838,0.7184295846411238
2021-02-02 05:41:07.943075,100,0.5,0.001,200,0.2,2,1,200,800,100,0.7188289085551743,1838,0.7178772412703812
2021-02-02 05:53:02.705753,100,0.5,0.001,200,0.2,2,10,100,400,100,0.7180203120273191,5403,0.7163997297176034
2021-02-02 06:02:57.965296,100,0.5,0.001,200,0.2,2,5,100,400,100,0.7178368632171249,4483,0.7162709297482115
2021-02-02 06:13:43.154357,100,0.5,0.001,200,0.2,2,1,100,400,100,0.7191589429448322,5691,0.7177643202924834
2021-02-02 06:33:10.579395,100,0.5,0.001,200,0.2,2,10,50,200,100,0.7174749570733017,10463,0.7152284455401787
2021-02-02 06:49:24.834351,100,0.5,0.001,200,0.2,2,5,50,200,100,0.7185542622652058,9543,0.7170855003591501
2021-02-02 06:59:54.038329,100,0.5,0.001,200,0.2,2,1,50,200,100,0.7196392516746588,5921,0.717356419406527
2021-02-02 07:06:35.401542,100,0.5,0.001,200,0.2,1,10,200,800,100,0.7182907446153788,2988,0.7170465962548169
2021-02-02 07:13:06.723890,100,0.5,0.001,200,0.2,1,5,200,800,100,0.7185383008780214,3046,0.7170067909493872
2021-02-02 07:19:30.231783,100,0.5,0.001,200,0.2,1,1,200,800,100,0.7159500374567658,3046,0.7144825980290352
2021-02-02 07:27:34.875666,100,0.5,0.001,200,0.2,1,10,100,400,100,0.7175564703515815,4483,0.7161998006788388
2021-02-02 07:35:28.721870,100,0.5,0.001,200,0.2,1,5,100,400,100,0.7184244793393914,4598,0.7173243241829927
2021-02-02 07:44:26.206255,100,0.5,0.001,200,0.2,1,1,100,400,100,0.7166202042681145,6208,0.7156810714246074
2021-02-02 07:59:01.114777,100,0.5,0.001,200,0.2,1,10,50,200,100,0.7162075880103611,10463,0.7147081684159109
2021-02-02 08:17:08.635364,100,0.5,0.001,200,0.2,1,5,50,200,100,0.7180677568482321,16213,0.7167592108116445
2021-02-02 08:28:44.188205,100,0.5,0.001,200,0.2,1,1,50,200,100,0.7157078451181726,10463,0.7140859648506306
2021-02-02 08:36:00.337723,100,0.5,0.001,400,0.2,2,10,200,800,100,0.7194455324975226,1896,0.718426861816871
2021-02-02 08:42:26.099762,100,0.5,0.001,400,0.2,2,5,200,800,100,0.7189499307451759,1838,0.7183655389337372
2021-02-02 08:48:17.334253,100,0.5,0.001,400,0.2,2,1,200,800,100,0.7178860563303409,1838,0.7176911706921019
2021-02-02 08:58:12.657659,100,0.5,0.001,400,0.2,2,10,100,400,100,0.7173779999794558,4483,0.7160223709430638
2021-02-02 09:05:33.833920,100,0.5,0.001,400,0.2,2,5,100,400,100,0.7177833656994166,3218,0.7160486419233514
2021-02-02 09:15:21.476673,100,0.5,0.001,400,0.2,2,1,100,400,100,0.7194090887662423,5403,0.7176457436916122
2021-02-02 09:27:35.335138,100,0.5,0.001,400,0.2,2,10,50,200,100,0.7177571764621262,6266,0.7160074126648566
2021-02-02 09:37:51.281455,100,0.5,0.001,400,0.2,2,5,50,200,100,0.7188445048644589,6208,0.7176083622662035
2021-02-02 09:48:18.622674,100,0.5,0.001,400,0.2,2,1,50,200,100,0.7200910633533285,5921,0.7176157297198587
2021-02-02 09:54:03.086860,100,0.5,0.001,400,0.2,1,10,200,800,100,0.7182982723629431,2471,0.7166928450465639
2021-02-02 09:58:47.391025,100,0.5,0.001,400,0.2,1,5,200,800,100,0.7174428716011729,1896,0.7162388911682752
2021-02-02 10:04:32.255938,100,0.5,0.001,400,0.2,1,1,200,800,100,0.7158590814726209,3046,0.7143939242969226
2021-02-02 10:11:18.104103,100,0.5,0.001,400,0.2,1,10,100,400,100,0.7178685955160679,3908,0.716342481241947
2021-02-02 10:18:04.998069,100,0.5,0.001,400,0.2,1,5,100,400,100,0.7186489149465319,4598,0.7179898117569169
2021-02-02 10:26:36.038549,100,0.5,0.001,400,0.2,1,1,100,400,100,0.7164401539703571,6208,0.7153677970906087
2021-02-02 10:39:38.956218,100,0.5,0.001,400,0.2,1,10,50,200,100,0.7163268284614821,10348,0.7154546280856275
2021-02-02 10:57:48.356535,100,0.5,0.001,400,0.2,1,5,50,200,100,0.7188004795309552,15178,0.7164402486741193
2021-02-02 11:10:17.995784,100,0.5,0.001,400,0.2,1,1,50,200,100,0.7167568596153253,10463,0.7144139732182593
